1,Palomitas,Popcorn,$23.00,palomitas.jpg
2,Refresco,Soda,$18.00,refresco.jpeg
3,Nachos,Nachos,$35.00,nachos.jpeg
4,Hot Dog,Hot Dog,$30.00,hot dog.jpg
5,Pizza,Pizza,$50.00,pizza.jpg
6,Helado,Ice Cream,$25.00,helado.jpg
7,Chocolate,Chocolate,$20.00,chocolate.jpeg
8,Galletas,Cookies,$15.00,galletas.jpeg
9,Papas Fritas,French Fries,$28.00,papas fritas.jpeg
10,Dulces,Candy,$10.00,dulces.jpeg
11,Te Helado,Iced Tea,$12.00,te.png
12,Sushi,Sushi,$22.00,sushi.jpg
13,Salmon,Salmon,$20.00,salmon.jpeg
14,Burritos,Burritos,$26.00,burritos.jpg
15,Ensalada,Salad,$40.00,ensalada.jpeg
16,Tostitos con queso,Tostitos with cheese,$32.00,tostitos.jpg
17,Malteada,Milk Shake,$27.00,malteada.jpg
18,Boneless,Boneless,$18.00,boneless.jpg
19,Limonada,Lemonade,$24.00,limonada.jpeg
20,Gomitas,Gummies,$38.00,gomitas.jpg

